store_id,name,address_line1,city,region,Product Name,Price,Price Per Count,Primary Location Name,Available Quantity,Order Pickup
1956,Trumbull,120 Hawley Ln,Trumbull,CT,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.39 ,$0.30 ,Trumbull,1,IN_STOCK
3325,North Quincy T Station,289 Hancock St,Quincy,MA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.69 ,$0.32 ,North Quincy T Station,10,IN_STOCK
1872,Durham,4037 Durham Chapel Hill Blvd,Durham,NC,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Durham,10,IN_STOCK
674,Marion,3000 W Deyoung St,Marion,IL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Marion,10,IN_STOCK
1945,Wichita NW,2727 N Maize Rd,Wichita,KS,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Wichita NW,10,IN_STOCK
1139,Westbury,999 Corporate Dr,Westbury,NY,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Westbury,9,IN_STOCK
2041,Des Moines North,5901 Douglas Ave,Des Moines,IA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Des Moines North,10,IN_STOCK
1896,South Elgin,530 Randall Rd,South Elgin,IL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,South Elgin,10,IN_STOCK
1086,Winston-Salem Hanes Mall,1040 Hanes Mall Blvd,Winston Salem,NC,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Winston-Salem Hanes Mall,8,IN_STOCK
2358,Columbus Far SW,1970 Hilliard Rome Rd,Hilliard,OH,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Columbus Far SW,10,IN_STOCK
1457,Humble,20777 Hwy 59 N,Humble,TX,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Humble,3,IN_STOCK
1194,Greece,600 Greece Ridge Center Dr,Rochester,NY,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Greece,6,IN_STOCK
530,Omaha NW,4001 N 132nd St,Omaha,NE,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Omaha NW,10,IN_STOCK
1404,Smithfield,371 Putnam Pike Ste A-250,Smithfield,RI,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Smithfield,10,IN_STOCK
1436,Ward Parkway,8509 State Line Rd,Kansas City,MO,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Ward Parkway,10,IN_STOCK
2787,Upper St. Clair,201 S Hills Vlg,Pittsburgh,PA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Upper St. Clair,10,IN_STOCK
2265,Coral Springs NW,9600 Westview Dr,Coral Springs,FL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Coral Springs NW,10,IN_STOCK
2345,Wentzville,1883 Wentzville Pkwy,Wentzville,MO,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Wentzville,10,IN_STOCK
2131,Royersford,1824 E Ridge Pike,Royersford,PA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Royersford,10,IN_STOCK
1224,Bridgewater,200 Promenade Blvd,Bridgewater,NJ,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Bridgewater,10,IN_STOCK
1808,Spring Valley,50 Spring Valley Market Pl,Spring Valley,NY,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Spring Valley,10,IN_STOCK
1904,Houston Tomball North,14302 FM 2920 Rd,Tomball,TX,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Houston Tomball North,10,IN_STOCK
969,Cartersville,100 Cherokee Pl,Cartersville,GA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Cartersville,7,IN_STOCK
1038,North Miami,14075 Biscayne Blvd,North Miami Beach,FL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,North Miami,10,IN_STOCK
1487,Mission,6100 Broadmoor St,Mission,KS,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Mission,10,IN_STOCK
2152,Brownsville North,301 E Morrison Rd,Brownsville,TX,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Brownsville North,10,IN_STOCK
1759,Shawnee,15700 Shawnee Mission Pkwy,Shawnee,KS,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Shawnee,10,IN_STOCK
1854,Rockville,5700 Bou Ave,Rockville,MD,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Rockville,10,IN_STOCK
2255,Washington,1851 Vernaci Dr,Washington,MO,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Washington,10,IN_STOCK
2091,Acworth,3378 Cobb Pkwy NW,Acworth,GA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Acworth,10,IN_STOCK
1521,Niskayuna,428 Balltown Rd,Schenectady,NY,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Niskayuna,10,IN_STOCK
