store_id,name,address_context_code,address_context_description,intersection_description,quadrant_code,quadrant_description,address_line1,address_line2,address_line3,city,region,state,postal_code,county,country_code,country,Product Name,Price,Price Per Count,Primary Location Name,Available Quantity,Order Pickup,Curbside,In Store
1253,Waterfront,M,Mailing,Homestead High Bdg & Rt 837,NEC,NorthEast Corner,360 Waterfront Dr E,,,Homestead,PA,Pennsylvania,15120-5004,Allegheny,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$6.69,$0.37,Waterfront,10.0,IN_STOCK,IN_STOCK,IN_STOCK
2537,Malvern,M,Mailing,US 202 & Rte. 29,SEC,SouthEast Corner,455 Carnegie Blvd,,,Malvern,PA,Pennsylvania,19355-8599,Chester,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$6.69,$0.37,Malvern,1.0,IN_STOCK,IN_STOCK,IN_STOCK
1204,San Antonio NE,M,Mailing,I-35 & Loop 1604,NEC,NorthEast Corner,8234 Agora Pkwy,,,Selma,TX,Texas,78154-1304,Bexar,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$6.69,$0.37,San Antonio NE,1.0,IN_STOCK,IN_STOCK,IN_STOCK
1354,San Antonio North,M,Mailing,Loop 1604 & Blanco Rd,NWC,NorthWest Corner,18255 Blanco Rd,,,San Antonio,TX,Texas,78258-4585,Bexar,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$6.69,$0.37,San Antonio North,10.0,IN_STOCK,IN_STOCK,IN_STOCK
2313,Edina,M,Mailing,70th St & York Ave S,SWC,SouthWest Corner,7000 York Ave S,,,Edina,MN,Minnesota,55435-4213,Hennepin,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$6.69,$0.37,Edina,10.0,IN_STOCK,IN_STOCK,IN_STOCK
610,Battle Creek,M,Mailing,Beckley Rd & Hwy 66,NWC,NorthWest Corner,5700 Beckley Rd,,,Battle Creek,MI,Michigan,49015-4184,Calhoun,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79,$0.32,Battle Creek,0.0,UNAVAILABLE,UNAVAILABLE,OUT_OF_STOCK
801,Laredo,M,Mailing,I-35 & Del Mar Blvd W,NEC,NorthEast Corner,7501 San Dario Ave,,,Laredo,TX,Texas,78045-7207,Webb,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$6.69,$0.37,Laredo,10.0,IN_STOCK,IN_STOCK,IN_STOCK
1872,Durham,M,Mailing,Shannon Rd & US Hwy 15-501,SWC,SouthWest Corner,4037 Durham Chapel Hill Blvd,,,Durham,NC,North Carolina,27707-2516,Durham,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79,$0.32,Durham,10.0,IN_STOCK,IN_STOCK,IN_STOCK
1815,Chula Vista East,M,Mailing,E Lake Pkwy & Otay Lakes Rd,NWC,NorthWest Corner,910 Eastlake Pkwy,,,Chula Vista,CA,California,91914-3558,San Diego,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$3.79,$0.21,Chula Vista East,0.0,UNAVAILABLE,UNAVAILABLE,OUT_OF_STOCK
3210,Rosslyn,M,Mailing,Wilson Blvd and N Oak St,SWC,SouthWest Corner,1500 Wilson Blvd,,,Rosslyn,VA,Virginia,22209-2458,Arlington,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$6.29,$0.35,Rosslyn,10.0,IN_STOCK,UNAVAILABLE,IN_STOCK
1370,Farragut,M,Mailing,I-40/75 & Lovell Rd,SWC,SouthWest Corner,11100 Parkside Dr,,,Knoxville,TN,Tennessee,37934-1960,Knox,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$6.69,$0.37,Farragut,7.0,UNAVAILABLE,UNAVAILABLE,IN_STOCK
1322,Florence,M,Mailing,Cox Creek Pkwy & Gresham Rd,SEC,SouthEast Corner,372 Cox Creek Pkwy,,,Florence,AL,Alabama,35630-1540,Lauderdale,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$6.69,$0.37,Florence,0.0,OUT_OF_STOCK,UNAVAILABLE,OUT_OF_STOCK
1308,Framingham,M,Mailing,Rte 30 & Whittier St,NWC,NorthWest Corner,400 Cochituate Rd,,,Framingham,MA,Massachusetts,01701-4655,Middlesex,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$2.69,$0.15,Framingham,0.0,UNAVAILABLE,UNAVAILABLE,OUT_OF_STOCK
2581,San Jose North,M,Mailing,Hwy 237 & N 1st St,SEC,SouthEast Corner,95 Holger Way,,,San Jose,CA,California,95134-1377,Santa Clara,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$4.39,$0.24,San Jose North,0.0,UNAVAILABLE,UNAVAILABLE,OUT_OF_STOCK
2367,Cleveland,M,Mailing,I-75 & Paul Huff Parkway,NWC,NorthWest Corner,4570 Frontage Rd NW,,,Cleveland,TN,Tennessee,37312-2905,Bradley,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$6.69,$0.37,Cleveland,10.0,IN_STOCK,IN_STOCK,IN_STOCK
674,Marion,M,Mailing,Hwy 13 & Williamson Co Pkwy,NWC,NorthWest Corner,3000 W Deyoung St,,,Marion,IL,Illinois,62959-5553,Williamson,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79,$0.32,Marion,10.0,IN_STOCK,IN_STOCK,IN_STOCK
1047,Hilltop,M,Mailing,First Colonial Rd & I-264,NWC,NorthWest Corner,525 First Colonial Rd,,,Virginia Beach,VA,Virginia,23451-6119,Virginia Beach City,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$6.69,$0.37,Hilltop,10.0,IN_STOCK,IN_STOCK,IN_STOCK
1289,New Britain,M,Mailing,Rte 9 & Rte 71,SEC,SouthEast Corner,475 Hartford Rd,,,New Britain,CT,Connecticut,06053-1524,Hartford,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$6.69,$0.37,New Britain,0.0,OUT_OF_STOCK,UNAVAILABLE,OUT_OF_STOCK
1945,Wichita NW,M,Mailing,Maize Rd & Central Park,NWC,NorthWest Corner,2727 N Maize Rd,,,Wichita,KS,Kansas,67205-7311,Sedgwick,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79,$0.32,Wichita NW,10.0,IN_STOCK,IN_STOCK,IN_STOCK
2520,Lewisville State Highway 121,M,Mailing,Hwy 121 & Josey Ln,SEC,SouthEast Corner,4760 State Highway 121,,,Lewisville,TX,Texas,75056-2913,Denton,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$6.69,$0.37,Lewisville State Highway 121,0.0,OUT_OF_STOCK,UNAVAILABLE,OUT_OF_STOCK
1178,Loveland,M,Mailing,US 34 & Rocky Mtn Ave,NWC,NorthWest Corner,1725 Rocky Mountain Ave,,,Loveland,CO,Colorado,80538-8851,Larimer,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$2.69,$0.15,Loveland,0.0,UNAVAILABLE,UNAVAILABLE,OUT_OF_STOCK
1932,Apex,M,Mailing,Hwy 55 & Hwy 64,SWC,SouthWest Corner,1201 Beaver Creek Commons Dr,,,Apex,NC,North Carolina,27502-3922,Wake,US,United States of America,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$6.69,$0.37,Apex,10.0,IN_STOCK,IN_STOCK,IN_STOCK
